id,start_date,end_date
1,2024-01-08,2024-01-12
2,2024-12-31,2025-01-30
3,2024-11-09,2024-11-22
4,2024-09-18,2024-09-27
5,2024-04-17,2024-04-18
6,2024-02-27,2024-02-28
7,2024-06-25,2024-06-26
8,2024-05-29,2024-06-18
9,2024-11-19,2024-11-28
10,2024-07-24,2024-08-05
11,2024-06-14,2024-06-15
12,2024-04-07,2024-05-12
13,2024-01-17,2024-02-03
14,2024-03-04,2024-03-06
15,2024-04-06,2024-04-08
16,2024-06-01,2024-06-03
17,2024-04-25,2024-04-28
18,2024-06-26,2024-07-03
19,2024-03-12,2024-03-17
20,2024-06-03,2024-06-06
21,2024-06-08,2024-06-17
22,2024-05-10,2024-05-11
23,2024-01-30,2024-02-02
24,2024-11-10,2024-11-14
25,2024-03-28,2024-04-03
26,2024-05-30,2024-06-14
27,2024-04-25,2024-04-27
28,2024-06-28,2024-07-05
29,2024-11-22,2024-11-30
30,2024-07-29,2024-07-30
31,2024-12-18,2024-12-27
32,2024-03-07,2024-03-08
33,2024-10-29,2024-10-30
34,2024-01-23,2024-02-21
35,2024-02-10,2024-03-14
36,2024-12-24,2025-01-09
37,2024-01-24,2024-01-27
38,2024-08-26,2024-08-27
39,2024-08-19,2024-08-30
40,2024-10-31,2024-11-05
41,2024-08-16,2024-08-17
42,2024-10-13,2024-10-19
43,2024-07-23,2024-07-24
44,2024-03-19,2024-04-12
45,2024-04-16,2024-04-18
